Feature,importance,fold
hist_purchase_date_max,1498.6,3
new_hist_purchase_amount_max,1278.6,3
hist_authorized_flag_mean,1260.6,3
hist_purchase_date_uptonow,1230.4,3
new_hist_purchase_date_uptonow,1168.4,3
hist_month_diff_mean,1153.2,3
hist_category_1_sum,1135.6,3
new_hist_purchase_date_max,1070.4,3
hist_purchase_date_min,970.6,3
hist_month_lag_mean,914.2,3
hist_purchase_amount_mean,864.8,3
new_hist_purchase_amount_mean,855.6,3
hist_category_1_mean,820.4,3
hist_month_nunique,796.4,3
hist_installments_sum,793.2,3
hist_month_lag_var,788.0,3
hist_merchant_id_nunique,766.6,3
hist_first_buy,763.6,3
hist_purchase_amount_min,749.0,3
hist_purchase_date_diff,731.0,3
hist_purchase_date_average,725.2,3
new_hist_month_lag_mean,711.2,3
new_hist_purchase_date_min,703.0,3
hist_weekend_mean,700.6,3
hist_weekofyear_nunique,700.4,3
hist_purchase_amount_max,691.2,3
new_hist_purchase_date_diff,687.4,3
hist_category_3_mean_mean,643.0,3
elapsed_time,626.4,3
new_hist_purchase_amount_min,615.0,3
new_hist_purchase_amount_var,614.0,3
new_hist_purchase_date_average,611.4,3
hist_purchase_amount_var,599.0,3
new_hist_category_1_mean,598.8,3
hist_purchase_amount_sum,582.0,3
hist_category_2_mean_mean,538.8,3
hist_installments_mean,531.2,3
hist_installments_var,521.6,3
new_hist_first_buy,455.6,3
new_hist_purchase_amount_sum,447.6,3
hist_merchant_category_id_nunique,419.6,3
hist_authorized_flag_sum,376.8,3
hist_weekend_sum,375.6,3
purchase_amount_total,368.8,3
weekofyear,363.8,3
hist_subsector_id_nunique,360.6,3
new_hist_category_1_sum,323.4,3
hist_card_id_size,315.2,3
hist_hour_nunique,312.2,3
feature_1,302.0,3
new_hist_month_diff_mean,290.4,3
month,281.6,3
card_id_total,281.2,3
new_hist_month_lag_var,275.8,3
hist_month_lag_max,265.2,3
new_hist_installments_var,252.0,3
new_hist_installments_mean,234.6,3
dayofweek,218.0,3
new_hist_weekend_mean,199.8,3
new_hist_merchant_category_id_nunique,192.0,3
new_hist_category_3_mean_mean,158.8,3
new_hist_installments_sum,154.2,3
new_hist_category_2_mean_mean,150.2,3
feature_2,146.0,3
new_hist_installments_min,142.6,3
hist_installments_max,138.2,3
hist_month_lag_min,123.8,3
new_hist_merchant_id_nunique,118.4,3
hist_year_nunique,118.2,3
new_hist_subsector_id_nunique,110.8,3
hist_installments_min,97.8,3
new_hist_installments_max,95.0,3
new_hist_month_lag_max,91.6,3
new_hist_hour_nunique,90.6,3
new_hist_card_id_size,80.6,3
feature_3,73.2,3
new_hist_year_nunique,66.2,3
new_hist_weekofyear_nunique,62.2,3
new_hist_dayofweek_nunique,57.2,3
new_hist_weekend_sum,53.2,3
hist_dayofweek_nunique,40.2,3
new_hist_month_lag_min,19.6,3
new_hist_month_nunique,18.2,3
